config info:  --epsilon_partition 0.1 --delta_partition 0.12 --method nlogn  --threshold 8 --threshold_lower_limit 8 --epsilon_partition_upper_limit 0.25 --convergence_limit 0.0005
circuit, time, probability
10sk_1_46, 11.28, 0.007461
17sk_3_45, 36.55, 0.003788
19sk_3_48, 152.7, 0.005257
20sk_1_51, 73.46, 0.00799
29sk_3_45, 125.5, 0.004794
27sk_3_32, 4.615, 0.007576
30sk_5_76, 164.2, 0.0008679
32sk_4_38, 16.13, 0.003788
51sk_4_38, 35.81, 0.004734
54sk_12_97, 370.1, 2.159e-05
107sk_3_90, 146.6, 8.719e-06
s298_3_2, 0.07083, 0.25
s526_3_2, 4.346, 0.2553
s641_15_7, 1.684, 0.5429
s838_15_7, 10.53, 0.5148
s1238a_3_2, 8.947, 0.5968
s1238a_15_7, 5.205, 0.413
s1423a_3_2, 12.28, 0.5593
blasted_case_0_b12_1, 31.95, 0.009009
blasted_case_1_b12_even2, 27.31, 0.1161
blasted_case_2_b12_1, 32.37, 0.007589
blasted_case_2_b14_3, 8.925, 0.1245
blasted_case_3_b14_1, 106.2, 0.1212
blasted_case6, 36.22, 4.543e-06
blasted_case17, 1.171, 0.1112
blasted_case34, 48.72, 0.1429
blasted_squaring3, 10.75, 3.898e-12
blasted_squaring51, 22.52, 3.701e-06
phi6_40, 15.61, 0.8816
phi12_10, 14.01, 0.3809
phi12_40, 23.41, 0.1444
