config info:  --epsilon_partition 0.4 --delta_partition 0.35 --method nlogn  --threshold 8 --threshold_lower_limit 2 --epsilon_partition_upper_limit 1.2 --convergence_limit 0.1
circuit, time, probability
10sk_1_46, 1.549, 0.008325
17sk_3_45, 4.041, 0.003125
19sk_3_48, 4.105, 0.003949
20sk_1_51, 8.698, 0.02567
29sk_3_45, 3.875, 0.003018
27sk_3_32, 1.038, 0.007576
30sk_5_76, 13.93, 0.001116
32sk_4_38, 1.929, 0.00431
51sk_4_38, 2.909, 0.005166
54sk_12_97, 15.41, 5.595e-05
107sk_3_90, 6.675, 1.526e-05
s298_3_2, 0.08639, 0.25
s526_3_2, 0.1619, 0.2812
s641_15_7, 0.1321, 0.4615
s838_15_7, 0.2789, 0.4348
s1238a_3_2, 0.219, 0.5417
s1238a_15_7, 0.1642, 0.4397
s1423a_3_2, 0.2989, 0.375
blasted_case_0_b12_1, 1.462, 0.01432
blasted_case_1_b12_even2, 1.638, 0.137
blasted_case_2_b12_1, 0.8533, 0.00625
blasted_case_2_b14_3, 0.2692, 0.1289
blasted_case_3_b14_1, 0.5114, 0.1379
blasted_case6, 1.298, 3.755e-06
blasted_case17, 0.2614, 0.1875
blasted_case34, 0.4791, 0.1273
blasted_squaring3, 1.605, 2.274e-12
blasted_squaring51, 1.293, 1.58e-06
phi6_40, 1.12, 0.8516
phi12_10, 0.3016, 0.4256
phi12_40, 0.6388, 0.2747
