config info:  --epsilon_partition 0.5 --delta_partition 0.12 --method nlogn  --threshold 8 --threshold_lower_limit 8 --epsilon_partition_upper_limit 1.2 --convergence_limit 0.001
circuit, time, probability
10sk_1_46, 3.328, 0.007568
17sk_3_45, 25.89, 0.005729
19sk_3_48, 19.1, 0.00516
20sk_1_51, 16.77, 0.008108
29sk_3_45, 12.91, 0.004824
27sk_3_32, 1.961, 0.007576
30sk_5_76, 45.36, 0.0008265
32sk_4_38, 2.382, 0.003788
51sk_4_38, 10.3, 0.004492
54sk_12_97, 111.6, 2.211e-05
107sk_3_90, 34.84, 9.39e-06
s298_3_2, 0.07166, 0.25
s526_3_2, 2.425, 0.25
s641_15_7, 2.475, 0.5766
s838_15_7, 21.18, 0.4981
s1238a_3_2, 4.589, 0.5784
s1238a_15_7, 2.349, 0.3936
s1423a_3_2, 27.99, 0.5563
blasted_case_0_b12_1, 8.57, 0.008493
blasted_case_1_b12_even2, 29.77, 0.1118
blasted_case_2_b12_1, 7.245, 0.007605
blasted_case_2_b14_3, 23.57, 0.1224
blasted_case_3_b14_1, 7.494, 0.113
blasted_case6, 10.52, 4.59e-06
blasted_case17, 1.144, 0.1111
blasted_case34, 4.35, 0.1321
blasted_squaring3, 5.066, 3.899e-11
blasted_squaring51, 7.447, 3.716e-06
phi6_40, 68.55, 0.8798
phi12_10, 5.266, 0.3876
phi12_40, 42.72, 0.1456
