config info:  --epsilon_partition 0.5 --delta_partition 0.25 --method nlogn  --threshold 8 --threshold_lower_limit 4 --epsilon_partition_upper_limit 1.2 --convergence_limit 0.001
circuit, time, probability
10sk_1_46, 2.888, 0.007445
17sk_3_45, 6.453, 0.003906
19sk_3_48, 6.721, 0.005127
20sk_1_51, 10.88, 0.00799
29sk_3_45, 15.87, 0.004853
27sk_3_32, 1.12, 0.007576
30sk_5_76, 21.26, 0.001753
32sk_4_38, 2.421, 0.003788
51sk_4_38, 2.119, 0.004735
54sk_12_97, 37.89, 2.229e-05
107sk_3_90, 10.25, 6.104e-06
s298_3_2, 0.07806, 0.25
s526_3_2, 2.464, 0.2358
s641_15_7, 4.169, 0.5761
s838_15_7, 11.2, 0.5029
s1238a_3_2, 4.44, 0.6116
s1238a_15_7, 2.814, 0.3945
s1423a_3_2, 14.19, 0.5243
blasted_case_0_b12_1, 1.747, 0.01442
blasted_case_1_b12_even2, 21.5, 0.1115
blasted_case_2_b12_1, 4.293, 0.007546
blasted_case_2_b14_3, 7.014, 0.1298
blasted_case_3_b14_1, 7.279, 0.1314
blasted_case6, 2.85, 4.187e-06
blasted_case17, 1.312, 0.112
blasted_case34, 7.697, 0.1335
blasted_squaring3, 2.292, 1.404e-10
blasted_squaring51, 2.089, 4.943e-06
phi6_40, 46.32, 0.8877
phi12_10, 6.852, 0.3976
phi12_40, 15.16, 0.136
